id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42870813,O verde da Zona Oeste.,341372986,Eloisa Helena Da Silva Dantas,,-22.974729999999997,-43.41585,Private room,$300.00,2,0,,,2,356
42871592,Apartamento moderno em Copacabana,33846927,Dayane,"Copacabana, Rio de Janeiro, Brazil",-22.96562,-43.17814,Entire home/apt,$236.00,3,0,,,3,6
42872705,Lindo 2 quartos a 2 quadras da Praia de Copacabana,214599530,Regina,"Copacabana, Rio de Janeiro, Brazil",-22.98273,-43.190979999999996,Entire home/apt,$480.00,5,3,2020-12-08,1.45,4,252
42873338,Excelente apartamento a um passo da Praia,328050314,Oscar,"Copacabana, Rio de Janeiro, Brazil",-22.97054,-43.18207,Entire home/apt,$700.00,2,0,,,1,173
42874066,Alugo uma vaga para sexo feminino Recreio,341395950,Mabel,,-23.02489,-43.49168,Private room,"$1,500.00",30,0,,,1,179
42876296,Alugo quarto no recreio,100004015,Beatriz,"Recreio dos Bandeirantes, Rio de Janeiro, Brazil",-23.02293,-43.49093,Private room,$180.00,1,1,2020-03-18,0.11,1,238
42878136,"Casa Flor Paquetá, Suíte 03 hóspedes",172183499,Marcelo,"Paquetá, Rio de Janeiro, Brazil",-22.75455,-43.11085,Private room,$330.00,1,0,,,3,353
42878422,Excelente quarto em Ipanema com Tv! 5min da praia,28233122,Jéssika,,-22.980420000000002,-43.20091,Private room,$200.00,1,0,,,3,42
42879651,"Casa Flor Paquetá, Suíte Casal",172183499,Marcelo,"Paquetá, Rio de Janeiro, Brazil",-22.75432,-43.108999999999995,Private room,$270.00,1,0,,,3,351
42880429,Casa de praia: Apt garden com conforto e segurança,341366598,Gabriel,"Recreio dos Bandeirantes, Rio de Janeiro, Brazil",-23.02944,-43.480579999999996,Entire home/apt,$800.00,3,3,2020-11-12,1.02,1,357
42887213,"Ap.(Flat) posto 6 , praia da Copacabana(ES/EN/FR)",75109316,Fedex,"Copacabana, Rio de Janeiro, Brazil",-22.98341,-43.19078,Entire home/apt,$386.00,7,0,,,1,89
42895854,MODERNO 02 QUARTOS TOTALMENTE REFORMADO,3056062,Wanderson,"Ipanema, Rio de Janeiro, Brazil",-22.98347,-43.197720000000004,Entire home/apt,$914.00,7,0,,,1,215
42901617,GREAT APARTMENT IN THE BEST AREA OF IPANEMA.,22860550,Oliver,,-22.98396,-43.20344,Entire home/apt,$233.00,3,0,,,2,309
42902043,Quarto na taquara,341622384,Gabriela,,-22.95176,-43.377159999999996,Private room,$130.00,2,1,2020-03-22,0.11,1,365
42902370,Aconchegante Quarto de Solteiro na Barra da Tijuca,171256326,Fernanda,"Barra da Tijuca, Rio de Janeiro, Brazil",-22.97309,-43.38084,Private room,$71.00,2,11,2020-12-13,1.48,1,152
42910418,Aconchegante 3Q no coração de Copacabana,317376135,Pedro,"Copacabana, Rio de Janeiro, Brazil",-22.96685,-43.183209999999995,Entire home/apt,$650.00,5,0,,,2,177
42910736,Apartamento com vista na Orla da praia do Recreio.,302322832,Mystay,"Recreio dos Bandeirantes, Rio de Janeiro, Brazil",-23.0224,-43.44907,Entire home/apt,"$1,607.00",3,6,2020-11-29,0.66,3,131
42911854,Casa da Zica,109036681,Jorge Ney,"Vista Alegre, Rio de Janeiro, Brazil",-22.82688,-43.31777,Shared room,$50.00,7,0,,,1,365
42913431,Apartamento no melhor local da Barra da Tijuca,30927899,Bruno Henrique,"Barra da Tijuca, Rio de Janeiro, Brazil",-23.00167,-43.379059999999996,Entire home/apt,"$1,054.00",2,0,,,1,178
42913741,Apartamento Porto do Rio,4106244,Guilherme,"Gamboa, Rio de Janeiro, Brazil",-22.89554,-43.19486,Entire home/apt,$250.00,2,1,2020-08-24,0.24,4,44
42914223,Mediterrâneo Flat com Belíssima Vista Mar,142247076,Marli,"Barra da Tijuca, Rio de Janeiro, Brazil",-23.003770000000003,-43.34183,Entire home/apt,$270.00,2,2,2020-12-13,0.57,3,341
42914387,Quarto e sala no coração do Humaitá!,38284548,Paula,"Humaitá, Rio de Janeiro, Brazil",-22.954810000000002,-43.19822,Entire home/apt,$115.00,2,1,2020-06-06,0.15,1,30
42914832,Mediterraneo Flat Excelente Localização,142247076,Marli,"Barra da Tijuca, Rio de Janeiro, Brazil",-23.005689999999998,-43.341359999999995,Entire home/apt,$228.00,2,5,2020-12-06,1.46,3,351
42915232,Stúdio Copacabana  prox.metrô e praia,74652696,Andreia,"Copacabana, Rio de Janeiro, Brazil",-22.981579999999997,-43.19173,Entire home/apt,$486.00,4,1,2020-10-13,0.41,14,327
42921034,Copacabana - Conjugado,341227021,Maria,"Copacabana, Rio de Janeiro, Brazil",-22.96826,-43.18339,Entire home/apt,$200.00,3,0,,,1,362
42924168,Sofisticação e conforto!,30280162,Janaina,"Rio de Janeiro , Rio de Janeiro, Brazil",-22.98289,-43.20785,Entire home/apt,"$1,000.00",1,0,,,2,0
42924343,Apartamento Copacabana,341791298,Cintia,,-22.97092,-43.18778,Entire home/apt,$143.00,2,0,,,1,361
42924439,Casa da Lagoa - Zona Sul,210041079,Goya,,-22.96557,-43.19859,Entire home/apt,"$3,500.00",3,0,,,6,354
42929081,Contemporary apartment in the heart of Copacabana,2398924,Renata,"Copacabana, Rio de Janeiro, Brazil",-22.96637,-43.19225,Entire home/apt,$329.00,3,13,2020-12-20,2.57,2,350
42929496,Suíte Leblon - Melhor Localização do Rio!,40544028,Fullano,"Copacabana, Rio de Janeiro, Brazil",-22.9835,-43.19347,Private room,$144.00,1,2,2020-12-08,0.81,6,337
42934422,Quarto p/6 pessoas com banheiro - Barra da Tijuca,245621348,Gleison,"Joá, Rio de Janeiro, Brazil",-23.01286,-43.295559999999995,Private room,$257.00,1,4,2020-11-02,0.66,8,81
42938717,Casa do Neco - Quarto Triplo,315096336,Alvaro,"Campo Grande, Rio de Janeiro, Brazil",-22.90629,-43.57458,Private room,$120.00,2,1,2020-07-03,0.17,4,364
42938729,Casa do Neco - Quarto Quádruplo,315096336,Alvaro,"Campo Grande, Rio de Janeiro, Brazil",-22.90626,-43.575520000000004,Private room,$160.00,2,0,,,4,365
42938738,L6B - Flat Rio Centro,243303614,Luiz,"Camorim, Rio de Janeiro, Brazil",-22.974439999999998,-43.415009999999995,Entire home/apt,$180.00,3,8,2020-12-06,2.93,3,85
42938903,"Barra da Tijuca: Ap Lindo com vista, área de lazer",302322832,Mystay,"Jacarepaguá, Rio de Janeiro, Brazil",-22.97029,-43.36407,Entire home/apt,$350.00,3,0,,,3,81
42939528,Casa do Neco - Quarto Duplo,315096336,Alvaro,"Campo Grande, Rio de Janeiro, Brazil",-22.90707,-43.57567,Shared room,$80.00,2,1,2020-10-18,0.44,4,365
